code;parent;fr;nl;de;alt_fr;alt_nl;alt_de;start;end;exactmatch1
212;;Société civile sous forme de société en commandite simple;Burgerlijke vennootschap onder vorm van gewone commanditaire vennootschap;Zivilrechtliche Gesellschaft in der Rechtsform einer einfachen Kommanditgesellschaft;SC SCS;BV GCV;ZRG EKG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/212
213;;Société civile sous forme de société en commandite par actions;Burgerlijke vennootschap onder vorm van commanditaire vennootschap op aandelen;Zivilrechtliche Gesellschaft in der Rechtsform einer Kommanditgesellschaft auf Aktien;SC SCA;BV CVA;ZRG KGaA;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/213
214;;Société civile sous forme de société anonyme;Burgerlijke vennootschap onder vorm van naamloze vennootschap;Zivilrechtliche Gesellschaft in der Rechtsform einer Aktiengesellschaft;SC SA;BV NV;ZRG AG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/214
215;;Société civile sous forme de société privée à responsabilité limitée;Burgerlijke vennootschap onder vorm van besloten vennootschap met beperkte aansprakelijkheid;Zivilrechtliche Gesellschaft in der Rechtsform einer Privatgesellschaft mit beschränkter Haftung;SC SPRL;BV BVBA;ZvGPgbH;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/215
225;;Société civile sous forme de société agricole;Burgerlijke Vennootschap onder vorm van Landbouwvennootschap (BV LV);Zivilrechtliche Gesellschaft in der Rechtsform einer landwirtschaftlichen Gesellschaft;SC SAGR;BV LV;ZRG LG;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/225
230;;Société étrangère avec un bien immobilier en Belgique (avec personnalité juridique);Buitenlandse onderneming met onroerend goed in België (met rechtspersoonlijkheid);Ausländische Gesellschaft mit einer Immobilie in Belgien (mit Rechtspersönlichkeit);SEBIBPJ;BOOGBRP;AusGmImm;01/01/1800;30/06/2003;
235;;Société étrangère sans établissement belge avec représentant responsable TVA;Buitenlandse onderneming zonder Belgische vestiging met vertegenwoordiger voor BTW;Ausländische Gesellschaft ohne Niederlassung in Belgien mit einem Fiskalvertreter für die MwSt.;SESEBTVA;BOZBVBTW;AusGohNi;01/01/1800;25/02/2004;http://vocab.belgif.be/auth/orgtype/cbe2003/235
260;;Groupement d'intérêt économique sans siège avec établissement en Belgique;Economisch samenwerkingsverband zonder zetel met vestiging in België;Wirtschaftliche Interessenvereinigung ohne Sitz mit Niederlassung in Belgien;GIE EB;ESV VB;WIV;01/01/1800;30/06/2003;
265;;Groupement européen d'intérêt économique sans siège avec établissement en Belgique;Europees economisch samenwerkingsverband zonder zetel met vestiging in België (EESV);Europäische wirtschaftliche Interessenvereinigung ohne Sitz mit Niederlassung in Belgien (EWIV);GEIE EB;EESV VB;EWIV;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/265
301;;Service public fédéral;Federale overheidsdienst;Föderaler öffentlicher Dienst;SPF;FOD;FÖD;01/01/1800;31/12/9999;http://vocab.belgif.be/auth/orgtype/cbe2003/301
